"","tweet","existence","existence.confidence","cleantweet"
"20","QUT researchers track climate change [link]","Yes",0.5194,"QUT researchers track climate change [link]"
"21","Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]","Yes",1,"Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]"
"22","Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]","Yes",1,"Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) ï¿½ï¿½_ A new study concl... [link]"
"23","Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]","Yes",1,"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]"
"24","RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw","Yes",1,"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw"
"25","@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun","Yes",0.8771,"@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun"
"26","effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link]","Yes",0.8887,"effects of global warming ï¿½ï¿½_ YouTube ï¿½ï¿½_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link]"
"27","It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html","Yes",0.5247,"It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html"
"28","A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link]","Yes",1,"A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link]"
"29","SCIENCE: Scientists explore the evolution of climate change [link]","Yes",0.7749,"SCIENCE: Scientists explore the evolution of climate change [link]"
"30","Eaarth: global warming is here to stay, how will we deal with it? [link]","Yes",1,"Eaarth: global warming is here to stay, how will we deal with it? [link]"
"31","Allergies Worse Than Ever? Blame Global Warming [link]","Yes",1,"Allergies Worse Than Ever? Blame Global Warming [link]"
"32","@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot","No",0.8197,"@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot"
"33","Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link]","No",0.9183,"Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link]"
"34","the scientific community was scamed by global green  gov warming scam.","No",0.9336,"the scientific community was scamed by global green  gov warming scam."
"35","I truly  Fat ASS Gore should get the Scam Artist Award of the decade with his Global Warming and Energy Credits worth close to Billion.",NA,NA,"I truly  Fat ASS Gore should get the Scam Artist Award of the decade with his Global Warming and Energy Credits worth close to Billion."
"36","40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.","No",1,"40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see."
"37","RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot","No",1,"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot"
"38","#justinbiebersucks and global warming is a farce","No",1,"#justinbiebersucks and global warming is a farce"
"39","One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]","No",0.9174,"One Stop Book Stop Confirmed! Global warming is 'settled' ï¿½ï¿½_ as a scam: WND.com Sussman's book, the ... [link]"
"40","Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2","No",1,"Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2"
"41","Air ban led by flawed computer models. Global warming come to mind? [link]",NA,NA,"Air ban led by flawed computer models. Global warming come to mind? [link]"
"42","Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!","No",0.8185,"Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!"
"43","@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin","No",0.8892,"@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin"
"44","30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]","No",0.8427,"30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]"
"45","Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]","No",0.9368,"Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]"
"46","computer forensics experts: are there still any idiots out there that belive global warming is true? [link]","No",0.9318,"computer forensics experts: are there still any idiots out there that belive global warming is true? [link]"
"47","Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link]","No",1,"Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link]"
"48","Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom.",NA,NA,"Despite Climategate, LEFT investing heavily in global warming hysteria as new way 2 impose nat'l & international controls on human freedom."
"49","Global warming you tube explanation you will enjoy #IPCC #teaparty [link]","N/A",0.8485,"Global warming you tube explanation you will enjoy #IPCC #teaparty [link]"
"50","Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link]","Yes",0.7774,"Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link]"
"51","Memo On The White House Correspondents Dinner: If You Want To Be Green, Report On Climate Change: I'd never be on... [link]","N/A",1,"Memo On The White House Correspondents Dinner: If You Want To Be Green, Report On Climate Change: I'd never be on... [link]"
"52","Views on Global Warming Vary in Three Countries|(Angus Reid Global Monitor) - People in three countries hold .. [link]","N/A",1,"Views on Global Warming Vary in Three Countries|(Angus Reid Global Monitor) - People in three countries hold .. [link]"
"53","SCENARIOS-Challenges to California climate change law: Source: Reuters By Peter Henderson SAN FRANCISCO, April 26 ... [link]","N/A",0.9309,"SCENARIOS-Challenges to California climate change law: Source: Reuters By Peter Henderson SAN FRANCISCO, April 26 ... [link]"
"54","The Climate of Lindsay Graham's Support for Climate Change Legislation Has Changed: Today Lindsey Graham,... [link]","N/A",0.9319,"The Climate of Lindsay Graham's Support for Climate Change Legislation Has Changed: Today Lindsey Graham,... [link]"
"55","Arizona's immigration law, climate change legislation stalling--Which issue should Congress focus on now? Poll: [link]","N/A",0.9132,"Arizona's immigration law, climate change legislation stalling--Which issue should Congress focus on now? Poll: [link]"
"56","Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... [link]","N/A",0.8845,"Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... [link]"
"57","US Climate change bill stalls in Senate [link]","N/A",0.8442,"US Climate change bill stalls in Senate [link]"
"58","Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]","Yes",0.6812,"Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]"
"59","cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. [link]","N/A",0.8253,"cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. [link]"
"60","Cafe Scientifique presents global warming talk, film|The April Cafe Scientifique presentation will be on the .. [link]","N/A",0.8264,"Cafe Scientifique presents global warming talk, film|The April Cafe Scientifique presentation will be on the .. [link]"
"61","Check this video out -- The Business of Climate Change Conference 2009 [link]","Yes",1,"Check this video out -- The Business of Climate Change Conference 2009 [link]"
"62","Brilliant Tips For Valentine's Day : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip... [link]","N/A",1,"Brilliant Tips For Valentine's Day : A Screaming ï¿½ï¿½_Oï¿½ï¿½_: ... Climate Change, clinical trials collagen, clinique, clip... [link]"
"63","USA: Climate Change Policy Update - April 12, 2010  [link]","N/A",0.9431,"USA: Climate Change Policy Update - April 12, 2010  [link]"
"64","-- Press Releases April 2010 - Climate change negotiators agree on intensified .. [link]","N/A",0.8557,"-- Press Releases April 2010 - Climate change negotiators agree on intensified .. [link]"
"65","@SooperMexican Global warming. Clearly.","Yes",0.6061,"@SooperMexican Global warming. Clearly."
"66","PostPartisan - Harry Reid's hapless play on immigration and climate change: [link]","N/A",1,"PostPartisan - Harry Reid's hapless play on immigration and climate change: [link]"
"67","Foes of California's global warming law pour money into a campaign to delay it [link]","N/A",0.5198,"Foes of California's global warming law pour money into a campaign to delay it [link]"
"68","Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]","N/A",0.8899,"Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]"
"69","Klein: ""A '50-50' chance that the Senate passes a climate change bill this year?"" [link]","N/A",1,"Klein: ""A '50-50' chance that the Senate passes a climate change bill this year?"" [link]"
"70","@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.","Yes",0.5978,"@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming."
"71","RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link]","N/A",0.3467,"RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link]"
"72","A religious spin on climate change.[link]","N/A",0.9514,"A religious spin on climate change.[link]"
"73","Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link]","Yes",0.7971,"Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link]"
"74","Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... [link]","N/A",0.7308,"Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... [link]"
"75","Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... [link]","N/A",0.6439,"Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... [link]"
"76","In climate data, that ""suggests"" global warming, and then the assumption that it is our doing. [link]","N/A",0.5556,"In climate data, that ""suggests"" global warming, and then the assumption that it is our doing. [link]"
"77","Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... [link]","N/A",0.8266,"Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... [link]"
"78","RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns [link]","N/A",0.8191,"RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns [link]"
"79","Opponents ramp up effort to delay Calif. global warming law [link]","N/A",0.6852,"Opponents ramp up effort to delay Calif. global warming law [link]"
"80","How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations","N/A",0.8017,"How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations"
"81","Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks [link]","N/A",0.911,"Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks [link]"
"82","RT @GClugo: RT @guardianscience Climate scientist sues newspaper for 'poisoning' global warming debate [link]","N/A",0.9019,"RT @GClugo: RT @guardianscience Climate scientist sues newspaper for 'poisoning' global warming debate [link]"
"83","RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change [link]","N/A",0.7452,"RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change [link]"
"84","Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link]","Yes",0.7774,"Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link]"
"85","Great article  [link]","N/A",1,"Great article  [link]"
"86","Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... [link]","N/A",0.7723,"Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... [link]"
"87","Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]","No",1,"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]"
"88","Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... [link]","N/A",1,"Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... [link]"
"89","Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]","Yes",0.567,"Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, ï¿½ï¿½_Five Myths... [link]"
"90","A religious take on climate change [link]","N/A",1,"A religious take on climate change [link]"
"91","Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link]","Yes",0.5971,"Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link]"
"92","LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link]","Yes",0.8221,"LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link]"
"93","Plan B: California Braces for Climate Change. [link]","Yes",0.5121,"Plan B: California Braces for Climate Change. [link]"
"94","Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]","Yes",0.7967,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]"
"95","@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming","Yes",0.6122,"@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming"
"96","Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]","Yes",0.7925,"Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]"
"97","Climate change & sustainability will be a key driver of future economic development. Listen at [link]","Yes",0.7874,"Climate change & sustainability will be a key driver of future economic development. Listen at [link]"
"98","Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech","Yes",0.5778,"Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech"
"99","US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link]","Yes",1,"US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link]"
"100","Even the generals know climate change is going to screw us. [link]","Yes",1,"Even the generals know climate change is going to screw us. [link]"
"101","Government Report Says Global Warming May Cause Cancer, Mental Illness [link]","Yes",0.6224,"Government Report Says Global Warming May Cause Cancer, Mental Illness [link]"
"102","RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]","Yes",0.8157,"RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]"
"103","RT @sciencedaily: Plants remain an effective way of tackling global warming [link]","Yes",1,"RT @sciencedaily: Plants remain an effective way of tackling global warming [link]"
"104","So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault.""","Yes",1,"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault."""
"105","RT @Newsweek: Global Warming Kills Forests In Colorado [link]","Yes",1,"RT @Newsweek: Global Warming Kills Forests In Colorado [link]"
"106","EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link]","Yes",1,"EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link]"
"107","Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]","Yes",0.7853,"Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]"
"108","RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link]","Yes",0.8275,"RT @quixotecenter: Combating climate change: lessons from the worldï¿½ï¿½_s indigenous peoples [link]"
"109","@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!","Yes",1,"@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!"
"110","RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link]","N/A",0.5844,"RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link]"
"111","RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]","Yes",0.7949,"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]"
"112","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","Yes",0.6021,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"113","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","N/A",0.6135,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"114","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","Yes",0.5763,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"115","Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]","Yes",1,"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]"
"116","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","Yes",0.8243,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"117","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","Yes",0.6065,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"118","CLIMATE CHANGE: Forests Not for Absorbing Carbon [link]","Yes",1,"CLIMATE CHANGE: Forests Not for Absorbing Carbon [link]"
"119","RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!","Yes",0.5857,"RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!"
"120","What beautiful fall weather this morning, New York! Thanks climate change! Bleh!","Yes",0.6105,"What beautiful fall weather this morning, New York! Thanks climate change! Bleh!"
"121","Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]","Yes",1,"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]"
"122","Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]","Yes",1,"Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]"
"123","Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]","Yes",0.8166,"Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]"
"124","CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]","Yes",0.6329,"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]"
"125","Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]","Yes",1,"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]"
"126","Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]","Yes",1,"Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]"
"127","Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]","Yes",1,"Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]"
"128","RT @Newsweek: Global Warming Kills Forests In Colorado [link]","Yes",1,"RT @Newsweek: Global Warming Kills Forests In Colorado [link]"
"129","Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]","Yes",0.6448,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]"
"130","Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]","Yes",0.8133,"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]"
"131","South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link]","Yes",0.5862,"South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link]"
"132","Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]","Yes",1,"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]"
"133","James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link]","Yes",0.5699,"James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link]"
"134","I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link]","Yes",0.819,"I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link]"
"135","Report: Save the Whales and They'll Save Us from Global Warming [link]","Yes",0.823,"Report: Save the Whales and They'll Save Us from Global Warming [link]"
"136","RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link]","N/A",0.621,"RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link]"
"137","Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link]","Yes",1,"Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link]"
"138","#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]","Yes",1,"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]"
"139","#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link]","Yes",0.7896,"#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link]"
"140","RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link]","Yes",0.617,"RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link]"
"141","RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link]","Yes",0.7868,"RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link]"
"142","Global warming science good news - Soils release less carbon than though as world warms: [link]","Yes",0.8236,"Global warming science good news - Soils release less carbon than though as world warms: [link]"
"143","So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !","Yes",0.7863,"So it*s April 27th, Phoenix has 90ï¿½_ï¿½ weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !"
"144","Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]","Yes",1,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]"
"145","Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]","Yes",1,"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]"
"146","West Mediterranean countries unite on climate change (AFP) [link]","N/A",0.5986,"West Mediterranean countries unite on climate change (AFP) [link]"
"147","Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link]","Yes",0.7835,"Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link]"
"148","3,000 Businesses Create New Ad for Climate Change Action [link]","N/A",0.5995,"3,000 Businesses Create New Ad for Climate Change Action [link]"
"149","Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""","Yes",0.8121,"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win."""
"150","Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal","N/A",0.8009,"Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal"
"151","RT @Newsweek: Global Warming Kills Forests In Colorado [link]","Yes",1,"RT @Newsweek: Global Warming Kills Forests In Colorado [link]"
"152","RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link]","Yes",1,"RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link]"
